Item,Value,Class,Evidence source
Selected IMS test set,"""Set 2 (2nd_test.rar)""",executed configuration and code,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/configs/ims-set2-v1.yaml#L8"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/datasets/ims.py#L71-L88""]"
Selected bearing,"""No single bearing selected; all four configured bearings enter both detectors""",executed configuration and code,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/configs/ims-set2-v1.yaml#L9"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L102-L114""]"
Selected source columns,"""All four columns, NumPy indices 0, 1, 2, 3; configured order bearing_1 through bearing_4""",executed code plus configuration ordering,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/configs/ims-set2-v1.yaml#L9"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/datasets/ims.py#L98-L102"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L102-L114""]"
Accelerometer direction,"""Not verifiable from the preserved run""",evidence gap,"""No direction field exists in the executed config, loader, summary, or manifest."""
Channel-selection rationale,"""Not documented; the code consumes every column rather than selecting one""",evidence gap,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/configs/ims-set2-v1.yaml#L9"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L102-L114""]"
End-of-test bearing fault,"""Not verifiable from the preserved run""",evidence gap,"""The executed artifacts identify only the final experiment recording, not a bearing-specific fault label."""
Raw recording structure,"""20,480 rows x 4 columns, 20,000 Hz, 1.024 s waveform duration, tab-delimited numeric text""",executed configuration and fail-fast loader,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/configs/ims-set2-v1.yaml#L9-L16"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/datasets/ims.py#L98-L102""]"
Recording timestamp,"""Unparsed source filename; observed format YYYY.MM.DD.HH.MM.SS""",executed code and preserved scores,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/datasets/ims.py#L105-L107"", ""scores.csv timestamp column""]"
Recording interval,"""Not configured; post-hoc artifact audit found all 983 intervals equal to 10 minutes""",observed preserved artifact,"""scores.csv timestamp audit"""
Conventional feature vector,"""24 values: six features in channel-major order for each of four centered channels""",executed code,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L100-L114"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/features/conventional.py#L8-L37""]"
Conventional score,"""maximum absolute per-feature robust standardized deviation from reference medians""",executed code,"""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L135-L146"""
MCIFT exchange matrix,"""4 x 4 symmetric matrix, zero diagonal, six unordered pair values""",executed code,"""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/features/mcift_adapter.py#L68-L109"""
MCIFT distance,"""root mean square difference over the six upper-triangle exchange entries""",executed code; overrides imprecise config label,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/configs/ims-set2-v1.yaml#L33"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L86-L91""]"
Reference partition,"""recording indices 0-97 inclusive (98 recordings)""",executed code and summary,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L121-L139"", ""summary.json results.reference_recordings""]"
Calibration partition,"""recording indices 98-195 inclusive (98 recordings); thresholds only""",executed code and summary,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L121-L160"", ""summary.json results.calibration_recordings""]"
Threshold quantile,"""NumPy 2.2.1 quantile q=0.995 with default linear method; strict score > threshold""",executed code and dependency manifest,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L94-L97"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L156-L162"", ""provenance.redacted.json dependencies""]"
Stable warning,"""first positive of first run of 3 consecutive strict exceedances; any negative resets counter""",executed code,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/evaluation/early_warning.py#L7-L15"", ""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/runner.py#L163-L167""]"
Run/scientific status,"""execution completed; scientific publication review unapproved""",preserved manifest plus publication policy,"[""source manifest status"", ""provenance.redacted.json scientific_review_status""]"
Raw data-quality counts,"{""expected_recordings"": 984, ""loaded_recordings"": 984, ""missing_recordings"": 0, ""rejected_recordings"": 0, ""malformed_recordings_detected_by_loader"": 0, ""imputed_recordings"": 0, ""raw_waveform_non_finite_values"": ""Not verifiable from the preserved run"", ""derived_score_non_finite_values"": 0, ""duplicate_timestamps_in_scores"": 0, ""chronological_regressions_in_scores"": 0, ""reordered_timestamps_by_executed_code"": 0, ""observed_inter_recording_intervals"": {""count"": 983, ""minimum_minutes"": 10.0, ""maximum_minutes"": 10.0, ""ten_minute_count"": 983, ""other_count"": 0}, ""evidence_limit"": ""The loader was fail-fast and produced 984 score rows, so no file was skipped, rejected, or imputed. It did not instrument raw non-finite-value counts.""}",fail-fast inference plus post-hoc preserved-artifact audit,"[""https://github.com/corpobear/MCIFT-Benchmarks/blob/731c249288d67dac4e3a10792980ec99be1de34d/benchmarks/src/mcift_benchmarks/datasets/ims.py#L91-L107"", ""scores.csv audit""]"
